watershed,type,title,precinct, local , grant , partner , match , benefits 
Addicks Reservoir,Local,Rehabilitation of Channels Upstream of Addicks Reservoir to Restore Channel Conveyance Capacity,3,"$30,000,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design and Construction of Control Structures and Stormwater Quality Features for the Upper Langham Creek Program",3,"$10,000,000 ",-,-,-,The Upper Langham Creek project could remove the 1% floodplain from all structures in the Upper Langham Creek watershed.
Addicks Reservoir,Partnership,Corps of Engineers Section 216 Study - Addicks and Barker Reservoirs,Countywide,-,"$750,000 ","$375,000 ","$375,000 ",This study partnership with the Corps of Engineers will evaluate the effectiveness and operation of the Addicks and Barker Reservoirs.
Addicks Reservoir,Partnership,"Right-Of-Way Acquisition, Design and Construction of Channel Conveyance Improvements and Bypass Channel for South Mayde Creek ",3,-,"$10,000,000 ","$9,000,000 ","$1,000,000 ",The South Mayde Creek project could reduce the risk of flooding for over 70 structures and the 1% floodplain is removed from an estimated 19 miles of roads near several schools.
Addicks Reservoir,Partnership,"Right-Of-Way Acquisition, Design and Construction of a Stormwater Detention Basin on South Mayde Creek ",3,-,"$16,000,000 ","$14,400,000 ","$1,600,000 ",This project will reduce the risk of flooding along South Mayde Creek.
Addicks Reservoir,Partnership,Design and Construction of a Bridge Replacement for Greenhouse Road at South Mayde Creek,3,-,"$15,000,000 ","$13,500,000 ","$1,500,000 ",This project will reduce the risk of flooding along South Mayde Creek.
Addicks Reservoir,Partnership,"Right-Of-Way Acquisition, Design and Construction of a Stormwater Detention Basin on South Mayde Creek near the Grand Parkway",3,-,"$94,000,000 ","$84,600,000 ","$9,400,000 ",This project will reduce the risk of flooding along South Mayde Creek.
Addicks Reservoir,Local,"Planning, Right-Of-Way Acquisition, Design, and Construction for Ultimate Conveyance on Bear Creek",3,"$25,000,000 ",-,-,-,The project could reduce the risk of flooding for over 30 structures in the 1% floodplain and create depth for more effective drainage.
Addicks Reservoir,Local,Design and Construction of Secondary Outfall for John Pauls Landing for the Upper Langham Creek Program,3,"$5,000,000 ",-,-,-,This project will reduce the risk of flooding along Upper Langham Creek.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design, and Construction of a Retention Area ",4,"$15,000,000 ",-,-,-,Provides regional retention in accordance w/ Cypress Creek Overflow Guidelines
Addicks Reservoir,Partnership,Design and Construction of Little York Stormwater Detention Basin ,4,-,"$3,000,000 ","$2,500,000 ","$500,000 ",Project would provide additional stormwater detention in support of flood damage reduction in Addicks Reservoir Watershed.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design and Construction of a Stormwater Detention Basin North of John Pauls Landing for the Upper Langham Creek Program",3,"$21,000,000 ",-,-,-,This project will reduce the risk of flooding along Upper Langham Creek.
Addicks Reservoir,Partnership,Design and Construction of Dinner Creek Stormwater Detention Basin,4,-,"$15,000,000 ","$11,250,000 ","$3,750,000 ",Project would provide additional stormwater detention in support of flood damage reduction in Addicks Reservoir Watershed.
Addicks Reservoir,Local,"Right-Of-Way Acquisition, Design, and Construction of Wetland Mitigation Bank",3 & 4,"$20,000,000 ",-,-,-,Restoration and enhancement of wetlands to create credits for wetland mitigation supporting construction of District projects.
Addicks Reservoir,Subdivision Drainage Improvement,Addicks Reservoir Subdivision Drainage Improvements,3 & 4,-,"$83,770,000 ","$62,827,500 ","$20,942,500 ","Design and construction of these projects could reduce the risk of flooding for over 6,600 homes during a 1% rain or flood event."
Addicks Reservoir,Storm Repair,Storm Repairs in Addicks Reservoir Watershed,3 & 4,-,"$19,056,000 ","$15,245,000 ","$3,811,000 ",Approximately 158 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Addicks Reservoir,Partnership,Rehabilitation of Channels Inside of Addicks Reservoir to Restore Channel Conveyance Capacity,3,-,"$10,000,000 ",-,"$10,000,000 ",Needed repairs to restore channel conveyance capacity. Partnership project with USACE with HCFCD providing project funding.
Armand Bayou,Community Input,Brookglen Flooding Mitigation Analysis,2,"$250,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Brookglen area.
Armand Bayou,Local,"Right-Of-Way, Design and Construction of Conveyance Improvements along Armand Bayou",2,"$10,000,000 ",-,-,-,Design and construction of projects to reduce the risk of flooding in the Armand Bayou watershed.
Armand Bayou,Local,Investigations of General Drainage Improvements in Armand Bayou Watershed,2,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Armand Bayou watershed.
Armand Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,2,-,"$6,200,000 ","$4,650,000 ","$1,550,000 ",Purchase of approximately 30 buildings.
Armand Bayou,Partnership,Floodplain Right-Of-Way Acquisition in Armand Bayou,2,-,"$4,000,000 ","$2,000,000 ","$2,000,000 ",Acquisition of Right-Of-Way along Armand Bayou to preserve channel conveyance and / or restore natural floodplains in areas subject to frequent flooding.
Armand Bayou,Local,"Planning, Right-Of-Way, Design and Construction of Conveyance Improvements along Horsepen Bayou",2,"$2,500,000 ",-,-,-,Project could reduce the risk of flooding for structures in the watershed.
Armand Bayou,Partnership,"Right-Of-Way Acquisition, Design and Construction of B112-00-00 and Tributaries Conveyance Improvements ",2,-,"$10,000,000 ","$8,000,000 ","$2,000,000 ",Provides general drainage improvements along B112-00-00
Armand Bayou,Partnership,Design and Construction of the Red Bluff Regional Stormwater Detention Basin ,2,-,"$15,000,000 ","$11,250,000 ","$3,750,000 ",Construction of this stormwater detention basin will reduce the risk of flooding in the Armand Bayou watershed.
Armand Bayou,Local,Design and Construction of the Baywood Stormwater Detention Basin,2,"$2,000,000 ",-,-,-,Construction of additional volume in this stormwater detention basin will help reduce the risk of flooding along Armand Bayou.
Armand Bayou,Storm Repair,Storm Repairs in Armand Bayou Watershed,2,-,"$174,000 ","$139,000 ","$35,000 ",Approximately 18 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Barker Reservoir,Local,Rehabilitation of Approximately 20 Miles of Channels Upstream of Barker Reservoir to Restore Channel Conveyance Capacity,3,"$30,000,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Barker Reservoir,Partnership,Corps of Engineers Section 216 Study - Addicks and Barker Reservoirs,Countywide,-,"$750,000 ","$375,000 ","$375,000 ",This study partnership with the Corps of Engineers will evaluate the effectiveness and operation of the Addicks and Barker Reservoirs.
Barker Reservoir,Subdivision Drainage Improvement,Barker Reservoir Subdivision Drainage Improvements,3,-,"$33,170,000 ","$24,877,500 ","$8,292,500 ","Design and construction of these projects could reduce the risk of flooding for over 1,900 homes during a 1% rain or flood event."
Barker Reservoir,Storm Repair,Storm Repairs in Barker Reservoir Watershed,3,-,"$2,224,000 ","$1,779,000 ","$445,000 ",Approximately 63 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Barker Reservoir,Partnership,Rehabilitation of Channels Inside of Barker Reservoir to Restore Channel Conveyance Capacity,3,-,"$10,000,000 ",-,"$10,000,000 ",Needed repairs to restore channel conveyance capacity. Partnership project with USACE with HCFCD providing project funding.
Brays Bayou,Partnership,Design and Construction of Project Brays Corps of Engineers (Section 211(f) Project),"1, 2, & 3",-,"$130,000,000 ","$70,000,000 ","$60,000,000 ","The 1% floodplain could be removed from  up to 15,000 structures."
Brays Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,3,-,"$11,600,000 ","$8,700,000 ","$2,900,000 ",Purchase of approximately 40 buildings.
Brays Bayou,Partnership,"Right-Of-Way, Design and Construction of Conveyance Improvements along Poor Farm Ditch",3,-,"$18,000,000 ","$13,500,000 ","$4,500,000 ",The project could reduce the risk of flooding for over 270 structures in the 1% floodplain.
Brays Bayou,Local,"Planning, Right-Of-Way Acquisition, Design, and Construction of Channel Conveyance Improvements on Keegans Bayou ",1,"$32,500,000 ",-,-,-,"Right-of-Way Acquisition, Design and construction of this project could reduce the risk flooding for over 900 structures in the 1% floodplain."
Brays Bayou,Partnership,"Right-Of-Way, Design and Construction of Conveyance Improvements along Bintliff Ditch",3,-,"$30,000,000 ","$22,500,000 ","$7,500,000 ",The project could reduce the risk of flooding for over 720 structures in the 1% floodplain.
Brays Bayou,Local,"Right-Of-Way Acquisition, Design, and Construction of Channel Conveyance Improvements on Fondren Diversion Channel",1,"$30,500,000 ",-,-,-,"Right-of-Way Acquisition, Design and construction of this project could reduce the risk of flooding for over 400 structures in the 1% floodplain."
Brays Bayou,Storm Repair,Storm Repairs in Brays Bayou Watershed,"1, 2, & 3",-,"$579,000 ","$463,000 ","$116,000 ",Approximately 24 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Buffalo Bayou,Local,Construction of Linear Detention on Buffalo Bayou,3,"$10,000,000 ",-,-,-,Reduce the risk of flooding along Buffalo Bayou with construction of additional stormwater detention volume on land already owned by the District.
Buffalo Bayou,Community Input,Design & Construction of Replacement Bridges Along Buffalo Bayou,Countywide,"$10,000,000 ",-,-,-,Design and construction of replacement bridges along Buffalo Bayou that could reduce the risk of of flooding along the channel.
Buffalo Bayou,Community Input,Investigations of Bridges over Buffalo Bayou,Countywide,"$500,000 ",-,-,-,Investigations regarding the bridges over Buffalo Bayou for the purpose of reducing the risk of flooding along the channel.
Buffalo Bayou,Local,Demolition of Structure,2,"$2,000,000 ",-,-,-,Improving the channel conveyance along Buffalo Bayou near downtown Houston.
Buffalo Bayou,Community Input,Rehabilitation of W140-00-00 to Restore Channel Conveyance Capacity,3,"$2,000,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Buffalo Bayou,Local,Spring Branch Creek Stabilization,3,"$4,000,000 ",-,-,-,Funding needed for completion of project construction maintaining channel conveyance around Memorial Drive.
Buffalo Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction Along Soldiers Creek",3,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Buffalo Bayou,Community Input,"Planning, Right-Of-Way Acquisition, Design and Construction Along W151-00-00",3,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Buffalo Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction Along W153-00-00",3,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Buffalo Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction Along W157-00-00",3,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Buffalo Bayou,Community Input,"Partnership Project with Fort Bend County on Right-of-Way Acquisition, Design, and Construction of General Drainage Improvements along Clodine Ditch",3,-,"$30,000,000 ","$15,000,000 ","$15,000,000 ","Planning, right-of-way acquisition, design and construction of this project could reduce the risk of flooding for homes along Buffalo Bayou downstream of Highway 6."
Buffalo Bayou,Storm Repair,Storm Repairs in Buffalo Bayou Watershed,"1, 3, & 4",-,"$5,890,000 ","$4,712,000 ","$1,178,000 ",Approximately 61 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Carpenters Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts, 1 & 2,-,"$200,000 ","$150,000 ","$50,000 ",Purchase of several buildings.
Carpenters Bayou,Subdivision Drainage Improvement,Carpenters Bayou Subdivision Drainage Improvements, 1 & 2,-,"$560,000 ","$420,000 ","$140,000 ",Design and construction of these projects could reduce the risk of flooding for over 300 homes during a 1% rain or flood event.
Carpenters Bayou,Storm Repair,Storm Repairs in Carpenters Bayou Watershed, 1 & 2,-,"$58,000 ","$46,000 ","$12,000 ",Approximately 16 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Cedar Bayou,Local,"Upstream Cedar Bayou Project - Right-Of-Way Acquisition, Design and Construction of channel conveyance improvements and stormwater detention basin Upstream of FM 1960",2,"$74,000,000 ",-,-,-,"The 1% floodplain could be reduced in size from approximately 1,500 acres to less than 100 acres."
Cedar Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,2,-,"$600,000 ","$450,000 ","$150,000 ",Purchase of several buildings.
Cedar Bayou,Local,"Right-of-Way Acquisition, Design and Construction of Channel Conveyance Improvements along Magee Gully",2,"$33,000,000 ",-,-,-,The 1% floodplain could be reduced in size.
Cedar Bayou,Local,"Right-of-Way Acquisition, Design and Construction of Channel Conveyance Improvements along Clawson Ditch and Q124-00-00",2,"$19,000,000 ",-,-,-,"The 1% floodplain could be reduced in size from approximately 2,700 acres to less than 800 acres."
Cedar Bayou,Local,"Right-of-Way Acquisition, Design and Construction of Channel Conveyance Improvements along Adlong Ditch",2,"$23,000,000 ",-,-,-,"The 1% floodplain could be reduced in size from approximately 2,300 acres to less than 200 acres."
Cedar Bayou,Local,"Right-of-Way Acquisition, Design and Construction of Channel Conveyance Improvements along Q130-00-00",2,"$18,000,000 ",-,-,-,"The 1% floodplain could be reduced in size from approximately 1,100 acres to less than 100 acres."
Cedar Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction of Channel Conveyance Improvements on Q134-00-00 ",2,"$11,000,000 ",-,-,-,The 1% floodplain could be reduced in size.
Cedar Bayou,Local,"Right-Of-Way Acquisition, Design and Construction of channel conveyance improvements on Q134-01-00 - Part of the Upstream Cedar Bayou Project",2,"$11,000,000 ",-,-,-,This project will reduce the risk of flooding along upper Cedar Bayou.
Cedar Bayou,Local,"Right-Of-Way Acquisition, Design and Construction of channel conveyance improvements on Q136-00-00 - Part of the Upstream Cedar Bayou Project",2,"$10,500,000 ",-,-,-,This project will reduce the risk of flooding along upper Cedar Bayou.
Cedar Bayou,Local,Design and Construction of the Q500-01 Stormwater Detention Basin,2,"$26,000,000 ",-,-,-,The 1% floodplain could be reduced in size.
Cedar Bayou,Local,"Right-Of-Way Acquisition, Design and Construction of Stormwater Detention Basins near Coastal Water Authority canals and IH 10 ",2,"$23,000,000 ",-,-,-,The 1% floodplain could be reduced in size.
Cedar Bayou,Local,Design and Construction of Crosby Eastgate Environmental Mitigation Bank,2,"$1,000,000 ",-,-,-,Restoration and enhancement of wetlands to create credits for wetland mitigation supporting construction of District projects.
Cedar Bayou,Subdivision Drainage Improvement,Cedar Bayou Subdivision Drainage Improvements,2,-,"$2,000,000 ","$1,500,000 ","$500,000 ",Design and construction of these projects could reduce the risk of flooding for over 150 homes during a 1% rain or flood event.
Cedar Bayou,Storm Repair,Storm Repairs in Cedar Bayou Watershed,2,-,"$125,000 ",,"$25,000 ",Approximately 8 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Clear Creek,Partnership,Design and Construction of Corps of Engineers Clear Creek Federal Flood Risk Management Project , 1 & 2,-,"$200,000,000 ","$130,000,000 ","$70,000,000 ","The 1% floodplain could be removed from up to 2,100 structures."
Clear Creek,Community Input,Rehabilitation of the Clear Creek channel to Restore Channel Conveyance Capacity , 1 & 2,"$5,000,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Clear Creek,Buyout,Federal Grant-Funded Volunteer Home Buyouts,1,-,"$38,800,000 ","$29,100,000 ","$9,700,000 ",Purchase of approximately 170 buildings.
Clear Creek,Community Input,Restore Channel Conveyance Capacity on A104-00-00 ,2,"$5,000,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Clear Creek,Local,"Right-Of-Way Acquisition, Design, and Construction of Channel Conveyance Improvements on A135-00-00",1,"$2,500,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for over 350 buildings.
Clear Creek,Community Input,Rehabilitation of the A214-00-00 channel to Restore Channel Conveyance Capacity , 1 & 2,-,"$1,000,000 ","$500,000 ","$500,000 ",Needed repairs to restore channel conveyance capacity.
Clear Creek,Local,Design and Construction of Hughes Stormwater Detention Basin,1,"$6,100,000 ",-,-,-,"Complements the Clear Creek Federal Project that could reduce the risk of flooding for over 2,100 structures"
Clear Creek,Local,Design and Construction of Dagg Road Stormwater Detention Basin ,1,"$7,400,000 ",-,-,-,"Complements the Clear Creek Federal Project that could reduce the risk of flooding for over 2,100 structures"
Clear Creek,Partnership,Construction of Stormwater Detention Basin Near FM 528 in Friendswood,1,-,"$10,000,000 ","$7,500,000 ","$2,500,000 ",Complements the Clear Creek Federal Project that could reduce the risk of flooding
Clear Creek,Partnership,Construction of Stormwater Detention Basin Near Dixie Farm Road in Friendswood,1,-,"$10,000,000 ","$7,500,000 ","$2,500,000 ",Complements the Clear Creek Federal Project that could reduce the risk of flooding
Clear Creek,Partnership,Construction of South Belt Stormwater Detention Basin and Channel Conveyance Improvements Along Beamer Road Ditch (A120-00-00),1,-,"$15,950,000 ","$11,962,500 ","$3,987,500 ","Complements the Clear Creek Federal Project that could reduce the risk of flooding for over 2,100 structures"
Clear Creek,Local,"Identification, Design and Construction of the A700-01 Environmental Mitigation Bank", 1 & 2,"$6,000,000 ",-,-,-,Restoration and enhancement of wetlands to create credits for wetland mitigation supporting construction of District projects.
Clear Creek,Subdivision Drainage Improvement,Clear Creek Subdivision Drainage Improvements, 1 & 2,-,"$12,060,000 ","$9,045,000 ","$3,015,000 ",Design and construction of these projects could reduce the risk of flooding for over 900 homes during a 1% rain or flood event.
Clear Creek,Storm Repair,Storm Repairs in Clear Creek Watershed, 1 & 2,-,"$553,000 ","$442,000 ","$111,000 ",Approximately 36 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Cypress Creek,Local,Cypress Creek Floodplain Right-of-Way Acquisition,3 & 4,"$100,000,000 ",-,-,-,Acquisition of Right-Of-Way along Cypress Creek to preserve channel conveyance and / or restore natural floodplains in areas subject to frequent flooding.
Cypress Creek,Community Input,Rehabilitation of Cypress Creek and Tributaries to Restore Channel Conveyance Capacity,3 & 4,"$50,000,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Cypress Creek,Buyout,Federal Grant-Funded Volunteer Home Buyouts,3 & 4,-,"$187,300,000 ","$140,475,000 ","$46,825,000 ",Purchase of approximately 450 buildings.
Cypress Creek,Local,Restore Channel Conveyance Capacity on K129-00-00 ,4,"$4,800,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Cypress Creek,Local,Restore Channel Conveyance Capacity Along Pillot Gully,4,"$2,200,000 ",-,-,-,Needed repairs to restore channel conveyance capacity.
Cypress Creek,Local,Construction of Channel Conveyance Improvements Along K163-00-00 ,3,"$3,000,000 ",-,-,-,Provides joint-benefits of facilitating local drainage improvements and reducing the risk of flooding along the channel.
Cypress Creek,Local,Design and Construction of Stormwater Detention Basins in Large Buyout Areas,4,"$25,000,000 ",-,-,-,"Design and Construction of stormwater detention basins in large areas of complete buyout could reduce the risk of flooding in the area.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Cypress Creek,Community Input,Investigation of Potential Detention Sites Around Cypress Creek and Stuebner Airline,3 & 4,"$100,000 ",-,-,-,Study will investigate potential sites and and benefits for detention around Cypress Creek and Stuebner Airline.
Cypress Creek,Local,"Identification, Design and Construction of the K700-02 Environmental Mitigation Bank",3,"$9,300,000 ",-,-,-,Restoration and enhancement of wetlands to create credits for wetland mitigation supporting construction of District projects.
Cypress Creek,Subdivision Drainage Improvement,Cypress Creek Subdivision Drainage Improvements,"1, 3, & 4",-,"$134,940,000 ","$101,205,000 ","$33,735,000 ","Design and construction of these projects could reduce the risk of flooding for over 3,900 homes during a 1% rain or flood event."
Cypress Creek,Storm Repair,Storm Repairs in Cypress Creek Watershed,"1, 3, & 4",-,"$21,186,000 ","$16,949,000 ","$4,237,000 ",Approximately 196 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Galveston Bay,Local,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements in Galveston Bay Watershed",2,"$4,000,000 ",-,-,-,Design and construction of projects to reduce the risk of flooding in the Galveston Bay watershed.
Galveston Bay,Local,Investigations of General Drainage Improvements in Galveston Bay Watershed,2,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Galveston Bay watershed.
Galveston Bay,Buyout,Federal Grant-Funded Volunteer Home Buyouts,2,-,"$200,000 ","$150,000 ","$50,000 ",Purchase of several buildings.
Galveston Bay,Partnership,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements Along F101-06-00",2,-,"$20,000,000 ","$4,000,000 ","$16,000,000 ",Design and construction of projects to reduce the risk of flooding along F101-06-00.
Galveston Bay,Partnership,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements Along F216-00-00",2,-,"$10,000,000 ","$2,000,000 ","$8,000,000 ",Design and construction of projects to reduce the risk of flooding along F216-00-00
Goose Creek,Local,"Right-Of-Way Acquisition, Design, and Construction of General Drainage Improvements in Goose Creek watershed",2,"$25,000,000 ",-,-,-,Design and construction of projects to reduce the risk of flooding in the Goose Creek watershed.
Goose Creek,Local,Investigations of General Drainage Improvements in Goose Creek watershed,2,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in Goose Creek watershed.
Goose Creek,Buyout,Federal Grant-Funded Volunteer Home Buyouts,2,-,"$200,000 ","$150,000 ","$50,000 ",Purchase of several buildings.
Goose Creek,Local,"Right-Of-Way Acquisition, Design, and Construction of General Drainage Improvements on Spring Gully ",2,"$5,000,000 ",-,-,-,Design and construction of projects that could reduce the risk of flooding for over 220 structures in the 1% floodplain.
Goose Creek,Local,Investigations of General Drainage Improvements on Spring Gully ,2,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding along Spring Gully.
Goose Creek,Subdivision Drainage Improvement,Spring Gully & Goose Creek Subdivision Drainage Improvements,2,-,"$2,560,000 ","$1,920,000 ","$640,000 ",Design and construction of these projects could reduce the risk of flooding for over 300 homes during a 1% rain or flood event.
Greens Bayou,Partnership,Mid-Reach Greens Bayou Project - Design and Construction of Channel Conveyance Improvements along Greens Bayou, 1 & 2,-,"$20,000,000 ","$18,000,000 ","$2,000,000 ",Project could reduce the risk of flooding for over 720 structures in the 10% floodplain.
Greens Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts, 1 & 2,-,"$97,900,000 ","$73,425,000 ","$24,475,000 ",Purchase of approximately 810 buildings.
Greens Bayou,Community Input,"ROW, Design, and Construction of Stormwater Detention Basin Near P130-05",1,"$3,000,000 ",-,-,-,Project could reduce the risk of lfooding for structures near P130-05-01
Greens Bayou,Partnership,Design and Construction of the Smith Road Channel Diversion ,4,-,"$8,000,000 ","$7,200,000 ","$800,000 ",This project could reduce the risk of flooding for over 440 buildings along P133-00-00 and secondary benefits could include reduced erosion.
Greens Bayou,Partnership,"Potential CDBG-DR (2017) - Planning, Right-of-Way Acquisition, Design and Construction of Channel Conveyance Improvements along P138-01-01",2,-,"$5,000,000 ","$5,000,000 ",-,"Potential federal funded project, the risk of flooding could be reduced for approximately 100 buildings."
Greens Bayou,Local,Repairs and Enhancements to the Lower Greens Bayou Regional Detention Embankment and Control Structure,1,"$5,000,000 ",-,-,-,Needed repairs of existing detention facilities in Lower Greens Bayou.
Greens Bayou,Partnership,Design and Construction of the Cutten Road Basin,4,-,"$15,000,000 ","$13,500,000 ","$1,500,000 ",This project could reduce the risk of flooding in the Greens Bayou watershed.
Greens Bayou,Partnership,Design and Construction of Aldine-Westfield Stormwater Detention Basin Improvements ,1,-,"$15,100,000 ","$13,590,000 ","$1,510,000 ",This project could reduce the risk of flooding in the Greens Bayou watershed.
Greens Bayou,Partnership,Design and Construction of Lauder Stormwater Detention Basin Improvements ,2,-,"$16,000,000 ","$14,400,000 ","$1,600,000 ",This project could reduce the risk of flooding in the Greens Bayou watershed.
Greens Bayou,Subdivision Drainage Improvement,Greens Bayou Subdivision Drainage Improvements,"1, 2, & 4",-,"$92,640,000 ","$69,480,000 ","$23,160,000 ","Design and construction of these projects could reduce the risk of flooding for over 9,600 homes during a 1% rain or flood event."
Greens Bayou,Storm Repair,Storm Repairs in Greens Bayou Watershed,"1, 2, & 4",-,"$8,406,000 ","$6,725,000 ","$1,681,000 ",Approximately 176 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-08-00 ","1, 2, & 4",-,"$25,000,000 ","$22,500,000 ","$2,500,000 ",This project could reduce the risk of flooding for over 210 buildings and could reduce the 1% floodplain for over 170 acres
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-09-00 ",1,-,"$12,000,000 ","$10,800,000 ","$1,200,000 ",This project could reduce the risk of flooding for over 200 buildings and could reduce the 1% floodplain for over 160 acres
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-21-00 ",2,-,"$14,000,000 ","$12,600,000 ","$1,400,000 ",This project could reduce the risk of flooding for over 90 buildings and could reduce the 1% floodplain for over 100 acres
