watershed,type,title,precinct, local , grant , partner , match , benefits 
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-23-00 ",1,-,"$16,000,000 ","$14,400,000 ","$1,600,000 ",This project could reduce the risk of flooding for over 280 buildings and could reduce the 1% floodplain for over 270 acres
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-23-02 ",1,-,"$12,000,000 ","$10,800,000 ","$1,200,000 ",This project could reduce the risk of flooding for over 100 buildings and could reduce the 1% floodplain for over 160 acres
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-25-00 ",2,-,"$18,000,000 ","$16,200,000 ","$1,800,000 ",This project could reduce the risk of flooding for over 20 buildings and could reduce the 1% floodplain for over 70 acres
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-25-01 ",2,-,"$6,000,000 ","$5,400,000 ","$600,000 ",This project could reduce the risk of flooding for over 150 buildings and could reduce the 1% floodplain for over 130 acres
Halls Bayou,Partnership,"Right-Of-Way, Design, and Construction of Channel Conveyance Improvements on P118-27-00 ",1,-,"$12,000,000 ","$10,800,000 ","$1,200,000 ",This project could reduce the risk of flooding for over 140 buildings and could reduce the 1% floodplain for over 200 acres
Halls Bayou,Community Input,Design and Construction of a Stormwater Detention Basin in Brock Park,1,-,"$10,000,000 ","$5,000,000 ","$5,000,000 ",Provides additional stormwater detention in support of flood damage reduction in Halls Bayou Watershed. The project costs are to be determined based on partnership with the City of Houston.
Halls Bayou,Subdivision Drainage Improvement,Halls Bayou Subdivision Drainage Improvements,"1, 2, & 4",-,"$9,500,000 ","$7,125,000 ","$2,375,000 ",Design and construction of these projects could reduce the risk of flooding for over 700 homes during a 1% rain or flood event.
Halls Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,"1, 2, & 4",-,"$137,500,000 ","$103,125,000 ","$34,375,000 ",Purchase of approximately 830 buildings.
Halls Bayou,Storm Repair,Storm Repairs in Halls Bayou Watershed, 1 & 2,-,"$5,571,000 ","$4,457,000 ","$1,114,000 ",Approximately 109 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Halls Bayou,Partnership,Design and Construction of Corps of Engineers Halls Bayou Flood Risk Management Project,"1, 2, & 4",-,"$200,000,000 ","$150,000,000 ","$50,000,000 ","Design and construction of this project could reduce the risk of flooding for over 2,800 structures in the 1% floodplain."
Halls Bayou,Partnership,Local Cost Share for Corps of Engineers Halls Bayou Study,"1, 2, & 4",-,"$3,000,000 ","$1,500,000 ","$1,500,000 ","Effort will identify a project for right-of-way acquisition, design, and construction that could reduce the risk of flooding for over 2,800 structures in the 1% floodplain."
Halls Bayou,Partnership,Design and Construction of Stormwater Detention Basin and Associated Channel Improvements,1,-,"$8,000,000 ","$7,200,000 ","$800,000 ",Provides additional stormwater detention in support of flood damage reduction in Halls Bayou Watershed
Halls Bayou,Partnership,CDBG-DR (2015)  - Construction of P518-26 Stormwater Detention Basin,2,-,"$1,000,000 ","$1,000,000 ",-,Provides additional stormwater detention in support of flood damage reduction in Halls Bayou Watershed
Halls Bayou,Partnership,CDBG-DR (2016) - Aldine Westfield Stormwater Detention Basin and Channel,2,-,"$14,000,000 ","$10,000,000 ","$4,000,000 ",Provides joint-benefits of facilitating local drainage improvements and could reduce the risk of flooding for over 50 structures.
Hunting Bayou,Partnership,"Design and Construction of  Corps of Engineers Hunting Bayou, Section 211(f) Project",1,-,"$80,000,000 ","$70,000,000 ","$10,000,000 ","The 1% floodplain could be removed from up to 4,450 structures."
Hunting Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,2,-,"$11,700,000 ","$8,775,000 ","$2,925,000 ",Purchase of approximately 90 buildings.
Hunting Bayou,Community Input,"Planning, Right-Of-Way, Design and Construction of a Diversion Channel from H102-00-00 to H100-00-00 through Galena Park",2,"$10,000,000 ",-,-,-,The project could reduce the risk of flooding for structures in lower Hunting Bayou.
Hunting Bayou,Local,HCFCD Cost Share of Study with the City of Houston on Wallisville Outfall, 1 & 2,"$500,000 ",-,-,-,Study will investigate flooding problems and identify potential solutions to flooding problems along the H103-00-00 channel.
Hunting Bayou,Local,"Right-Of-Way Acquisition, Design and Construction of Wallisville Outfall", 1 & 2,"$10,000,000 ",-,-,-,The project could reduce the risk of flooding for over 140 structures in the 1% floodplain.
Hunting Bayou,Storm Repair,Storm Repairs in Hunting Bayou Watershed, 1 & 2,-,"$64,000 ","$51,000 ","$13,000 ",Approximately 9 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Jackson Bayou,Local,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements in Jackson Bayou Watershed",2,"$10,000,000 ",-,-,-,Design and construction of projects to reduce the risk of flooding in the Jackson Bayou watershed.
Jackson Bayou,Local,Investigations of General Drainage Improvements in Jackson Bayou Watershed,2,"$500,000 ",-,-,-,"Efforts will investigate flooding problems and evaluate potential solutions to flooding problmes to reduce the risk of flooding for up to 4,200 structures in the Jackson Bayou watershed."
Jackson Bayou,Subdivision Drainage Improvement,Jackson Bayou Subdivision Drainage Improvements,2,-,"$3,000,000 ","$2,250,000 ","$750,000 ","Design and construction of these projects could reduce the risk of flooding for over 1,900 homes during a 1% rain or flood event."
Little Cypress Creek,Local,"Management, Right-of-Way Acquisition, Design and Construction of the Little Cypress Creek Frontier Program",3,"$25,950,000 ",-,-,-,Implementation and construction of the Little Cypress Creek Frontier Program could remove the 1% floodplain for over 730 acres in the watershed.
Little Cypress Creek,Partnership,Frontier Program Downstream of Cypress Rosehill,3 & 4,-,"$24,500,000 ","$18,375,000 ","$6,125,000 ","Investigations to develop and implement a masterplan for reducing the risk of flooding and regional infrastructure development in the lower end of the Little Cypress Creek watershed. Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Buyout,Federal Grant-Funded Volunteer Home Buyouts,3 & 4,-,"$9,400,000 ","$7,050,000 ","$2,350,000 ",Purchase of approximately 30 buildings.
Little Cypress Creek,Local,Design and Construction of Zube Park Stormwater Detention Basin ,3,"$1,000,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,"Right-Of-Way Acquisition, Design, and Construction of Kluge Stormwater Detention Basin ",4,"$11,000,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,"Right-Of-Way Acquisition, Design, and Construction of Mueschke East Stormwater Detention Basin ",3,"$15,900,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,"Right-Of-Way Acquisition, Design, and Construction of Schiel Stormwater Detention Basin ",3,"$16,000,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,Construction of Mueschke West Stormwater Detention Basin Improvements ,3,"$10,600,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,Construction of Hegar Stormwater Detention Basin Improvements,3,"$11,800,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,Design and Construction of Additional Volume in Little Cypress Creek Stormwater Detention Basins ,3 & 4,"$25,000,000 ",-,-,-,"Design and Construction of additional volume in existing stormwater detention basins to reduce the risk of flooding in the watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,Construction of Kleb Woods Stormwater Detention Basin Improvements,3,"$3,700,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,"ROW, Design, and Construction of Mason Stormwater Detention Basin in Little Cypress Creek watershed",3,"$13,000,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Local,Construction of Bauer-Hockley Stormwater Detention Basin Improvements ,3,"$3,850,000 ",-,-,-,"This project will reduce the risk of flooding in the Little Cypress Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Little Cypress Creek,Subdivision Drainage Improvement,Little Cypress Creek Subdivision Drainage Improvements,3 & 4,-,"$14,590,000 ","$10,942,500 ","$3,647,500 ",Design and construction of these projects could reduce the risk of flooding for over 200 homes during a 1% rain or flood event.
Luce Bayou,Local,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements in Luce Bayou Watershed",2,"$10,000,000 ",-,-,-,"To facilitate drainage improvements benefitting up to 3,000 structures.in the watershed."
Luce Bayou,Local,"Planning, Right-of-Way Acquisition, Design and Construction of General Drainage Improvements in Luce Bayou Watershed",2,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Luce Bayou watershed.
Luce Bayou,Local,Luce Bayou Floodplain Right-of-Way Acquisition,2,"$10,000,000 ",-,-,-,Acquisition of Right-Of-Way along Luce Bayou to preserve channel conveyance and / or restore natural floodplains in areas subject to frequent flooding.
Luce Bayou,Storm Repair,Storm Repairs in Luce Bayou Watershed,2,-,"$70,000 ","$56,000 ","$14,000 ",Approximately 3 repair projects of erosion and infrastructure identified after Hurricane Harvey.
San Jacinto River,Partnership,"Funding for Future Partnership Projects Based on Results of Study - for Right-of-Way Acquisition, Design, and Construction of General Drainage Improvements in San Jacinto River Watershed Study","1, 2, & 4",-,"$75,000,000 ","$56,250,000 ","$18,750,000 ","Design and construction of partnership projects to reduce the risk of flooding along the San Jacinto River. Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
San Jacinto River,Partnership,San Jacinto River Watershed Study,"1, 2, & 4",-,"$2,500,000 ","$1,875,000 ","$625,000 ",Study will investigate flooding problems and identify potential solutions to flooding from the San Jacinto River.
San Jacinto River,Local,"Planning , Right-Of-Way Acquisition, design and Construction of General Drainage Improvements Near Atascocita",2,"$10,000,000 ",-,-,-,This project could reduce the risk of flooding and facilitate drainage improvements in the area of Atascocita in the San Jacinto River watershed.
San Jacinto River,Local,"Planning , Right-Of-Way Acquisition, design and Construction of General Drainage Improvements East of Lake Houston",2,"$10,000,000 ",-,-,-,This project could reduce the risk of flooding and facilitate drainage improvements in the area east of Lake Houston in the San Jacinto River watershed.
San Jacinto River,Partnership,Design and Construction of Additional Gates on Lake Houston in Partnership with the City of Houston,"1, 2, & 4",-,"$40,000,000 ","$20,000,000 ","$20,000,000 ",Design and construction of additional gates which could enhance the operation of Lake Houston for reduction of flood risk along the the San Jacinto River.  The partnership and project costs are to be determined.
San Jacinto River,Community Input,Investigations of Potential Detention Sites Around Glendale Dredge Site in Partnership with the City of Houston,1,-,"$100,000 ","$50,000 ","$50,000 ",Study will investigate potential sites and benefits for detention in and around Glendale Dredge site in partnership with the City of Houston.
San Jacinto River,Buyout,Federal Grant-Funded Volunteer Home Buyouts,"1, 2, & 4",-,"$112,800,000 ","$84,600,000 ","$28,200,000 ",Purchase of approximately 470 buildings.
San Jacinto River,Local,"Planning , Right-Of-Way Acquisition, design and Construction of General Drainage Improvements Near Huffman",2,"$10,000,000 ",-,-,-,This project could reduce the risk of flooding and facilitate drainage improvements in the area of Huffman in the San Jacinto River watershed.
San Jacinto River,Local,"Planning , Right-Of-Way Acquisition, design and Construction of General Drainage Improvements Near Kingwood",2,"$10,000,000 ",-,-,-,This project could reduce the risk of flooding and facilitate drainage improvements in the area of Kingwood in the San Jacinto River watershed.
San Jacinto River,Storm Repair,Storm Repairs in San Jacinto River Watershed,"1, 2, & 4",-,"$406,000 ","$325,000 ","$81,000 ",Approximately 13 repair projects of erosion and infrastructure identified after Hurricane Harvey.
San Jacinto River,Community Input,"Planning, Right-Of-Way, Design and Construction of Conveyance Improvements along Panther Creek",2,"$10,000,000 ",-,-,-,"Planning, right-of-way, design and construction of projects to reduce the risk of flooding along Panther Creek."
San Jacinto River,Subdivision Drainage Improvement,San Jacinto River Subdivision Drainage Improvements,"1, 2, & 4",-,"$360,000 ","$270,000 ","$90,000 ",Design and construction of these projects could reduce the risk of flooding for over 50 homes during a 1% rain or flood event.
Sims Bayou,Partnership,Restore Channel Conveyance Capacity Along C102-00-00 ,2,-,"$30,000,000 ","$15,000,000 ","$15,000,000 ",Needed repairs to restore channel conveyance capacity in partnership with the City of Houston
Sims Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction Along C116-00-00",1,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Sims Bayou,Partnership,"Right-Of-Way Acquisition, Design, and Construction of Stormwater Detention Basin and Channel Conveyance Improvements along Salt Water Ditch ",1,-,"$50,000,000 ","$37,500,000 ","$12,500,000 ","The project could reduce the risk of flooding for over 1,900 structures near C118-00-00 in the 1% floodplain."
Sims Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction Along C124-00-00",1,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Sims Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction Along C143-00-00",1,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Sims Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction Along C144-00-00",1,"$10,000,000 ",-,-,-,Could reduce the risk of flooding and could improve local drainage issues for buildings along the channel.
Sims Bayou,Partnership,"Right-Of-Way Acquisition, Design, and Construction of South Post Oak Stormwater Detention Basin and Channel Conveyance Improvements along C147-00-00 ",1,-,"$18,170,000 ","$13,627,500 ","$4,542,500 ",The project could reduce the risk of  flooding for over 210 structures in the 1% floodplain.
Sims Bayou,Partnership,Design and Construction of C506-01-00-E003 ,2,-,"$15,000,000 ","$11,250,000 ","$3,750,000 ",Provides additional stormwater detention in support of flood damage reduction in Sims Bayou Watershed
Sims Bayou,Subdivision Drainage Improvement,Sims Bayou Subdivision Drainage Improvements, 1 & 2,-,"$880,000 ","$660,000 ","$220,000 ",Design and construction of these projects could reduce the risk of flooding for over 50 Homes during a 1% rain or flood event.
Sims Bayou,Storm Repair,Storm Repairs in Sims Bayou Watershed, 1 & 2,-,"$1,161,000 ","$929,000 ","$232,000 ",Approximately 34 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Spring Creek,Local,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements along Spring Creek",3 & 4,"$10,000,000 ",-,-,-,"Design and construction of a project to reduce the risk of flooding in the Spring Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Spring Creek,Local,Investigations of General Drainage Improvements along Spring Creek,3 & 4,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Spring Creek watershed.
Spring Creek,Local,Spring Creek Floodplain Right-of-Way Acquisition,3 & 4,"$30,000,000 ",-,-,-,Acquisition of Right-Of-Way along Spring Creek to preserve channel conveyance and / or restore natural floodplains in areas subject to frequent flooding.
Spring Creek,Buyout,Federal Grant-Funded Volunteer Home Buyouts,3 & 4,-,"$300,000 ","$225,000 ","$75,000 ",Purchase of several buildings.
Spring Creek,Partnership,"Planning, Right-of-Way Acquisition, Design and Construction of a Reservoir along Spring Creek",3 & 4,-,"$25,000,000 ","$12,500,000 ","$12,500,000 ","This partnership will evaluate the effectiveness, construction, and operation of a reservoir in the Spring Creek watershed.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Spring Creek,Subdivision Drainage Improvement,Spring Creek Subdivision Drainage Improvements,3 & 4,-,"$6,280,000 ","$4,710,000 ","$1,570,000 ",Design and construction of these projects could reduce the risk of flooding for over 500 Homes during a 1% rain or flood event.
Spring Creek,Storm Repair,Storm Repairs in Spring Creek Watershed,3 & 4,-,"$363,000 ","$290,000 ","$73,000 ",Approximately 12 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Vince Bayou,Local,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements in Vince Bayou Watershed",2,"$5,000,000 ",-,-,-,Design and construction of projects to reduce the risk of flooding in the Vince Bayou watershed.
Vince Bayou,Local,Investigations of General Drainage Improvements in Vince Bayou Watershed,2,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluating potential solutions to flooding problems to reduce the risk of flooding in the Vince Bayou watershed.
Vince Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,2,-,"$400,000 ","$300,000 ","$100,000 ",Purchase of several buildings.
Vince Bayou,Storm Repair,Storm Repairs in Vince Bayou Watershed,2,-,"$58,000 ","$46,000 ","$12,000 ",Approximately 14 repair projects of erosion and infrastructure identified after Hurricane Harvey.
White Oak Bayou,Partnership,Design and Construction of Corps of Engineers White Oak Bayou Section 211(f) Project,1 & 4,-,"$95,000,000 ","$75,000,000 ","$20,000,000 ","This project could reduce the risk of flooding for over 1,800 buildings in the 2% floodplain."
White Oak Bayou,Community Input,Partnership Project with the City of Houston for Feasibility Study of General Drainage Improvements around Hidden Townlakes,4,-,"$350,000 ","$175,000 ","$175,000 ",Feasibility study in partnership with the City of Houston willl evaluate general drainage improvements that could reduce the risk of flooding for homes in Hidden Townlakes.
White Oak Bayou,Buyout,Federal Grant-Funded Volunteer Home Buyouts,1 & 4,-,"$119,300,000 ","$89,475,000 ","$29,825,000 ",Purchase of approximately 660 buildings.
White Oak Bayou,Local,"Planning, Right-Of-Way Acquisition, Design and Construction of Little White Oak Bayou Channel Conveyance Improvements ", 1 & 2,"$30,000,000 ",-,-,-,"Planning, Right-of-Way acquisition, design and construction of this project could reduce the risk of flooding for over 1,150 structures in the 1% floodplain."
White Oak Bayou,Partnership,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements along Turkey Gully",3 & 4,-,"$5,000,000 ","$2,500,000 ","$2,500,000 ",Project could reduce the risk of flooding for structures along Turkey Gully in partnership with the City of Houston.
White Oak Bayou,Local,"Right-Of-Way Acquisition, Design, and Construction of Channel Conveyance Improvements on Brickhouse Gully ",4,"$35,000,000 ",-,-,-,"Right-of-Way acquisition, design and construction of this project could reduce  the risk of flooding for over 1,300 structures in the 1% floodplain."
White Oak Bayou,Community Input,"Partnership Project with Jersey Village on Right-of-Way Acquisition, Design, and Construction of General Drainage Improvements along E127-00-00",4,-,"$3,000,000 ","$1,500,000 ","$1,500,000 ","Planning, right-of-way acquisition, design and construction of this project could reduce the risk of flooding for homes along E127-00-00."
White Oak Bayou,Partnership,"Right-of-Way Acquisition, Design and Construction of the North Canal ",2,-,"$100,000,000 ","$80,000,000 ","$20,000,000 ",Design and construction of this project could reduce the risk of flooding upstream and downstream of downtown Houston.
White Oak Bayou,Local,Construction of Inwood Forest West Stormwater Detention Basin ,1 & 4,"$7,800,000 ",-,-,-,Design and construction of this project and Inwood Forest East Stormwater Detention Basin could reduce the risk of flooding for over 950 structures in the 1% floodplain
White Oak Bayou,Partnership,Design and Construction of Arbor Oaks Stormwater Detention Basin ,1,-,"$10,000,000 ","$7,500,000 ","$2,500,000 ","This stormwater detention basin facilitates completion of the federal project on White Oak Bayou which could reduce the risk of flooding for 1,800 structures in the 2% floodplain."
White Oak Bayou,Partnership,Design and Construction of Woodland Trails Stormwater Detention Basin ,4,-,"$31,000,000 ","$23,250,000 ","$7,750,000 ","This stormwater detention basin facilitates completion of the federal project on White Oak Bayou which could reduce the risk of flooding for 1,800 structures in the 2% floodplain."
White Oak Bayou,Local,Construction of Inwood Forest East Stormwater Detention Basin ,1,"$8,350,000 ",-,-,-,Design and construction of this project and Inwood Forest West Stormwater Detention Basin could reduce the risk of flooding for over 950 structures in the 1% floodplain
White Oak Bayou,Subdivision Drainage Improvement,White Oak Bayou Subdivision Drainage Improvements,"1, 3, & 4",-,"$36,250,000 ","$27,187,500 ","$9,062,500 ","Design and construction of these projects could reduce the risk of flooding for over 2,400 homes during a 1% rain or flood event."
White Oak Bayou,Storm Repair,Storm Repairs in White Oak Bayou Watershed,"1, 3, & 4",-,"$4,905,000 ","$3,924,000 ","$981,000 ",Approximately 84 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Willow Creek,Local,"Right-of-Way Acquisition, Design and Construction of General Drainage Improvements in Willow Creek Watershed",3 & 4,"$15,000,000 ",-,-,-,Design and construction of projects to reduce the risk of flooding in the Willow Creek watershed.
Willow Creek,Local,Investigations of General Drainage Improvements in Willow Creek Watershed,3 & 4,"$500,000 ",-,-,-,Effort will investigate flooding problems and evaluate potential solutions to flooding problems to reduce the risk of flooding in the Willow Creek watershed.
Willow Creek,Local,Willow Creek Floodplain Right-of-Way Acquisition,3 & 4,"$30,000,000 ",-,-,-,Acquisition of Right-Of-Way along Willow Creek to preserve channel conveyance and / or restore natural floodplains in areas subject to frequent flooding.
Willow Creek,Buyout,Federal Grant-Funded Volunteer Home Buyouts,4,-,"$2,100,000 ","$1,575,000 ","$525,000 ",Purchase of approximately 10 buildings.
Willow Creek,Local,Design and Construction of Channel Conveyance Improvements on M124-00-00 ,4,"$21,000,000 ",-,-,-,The project could reduce the risk of flooding for structures in the 1% floodplain and increase drainage efficiency.
Willow Creek,Local,Design and Construction of Cypress Rosehill Stormwater Detention Basin ,4,"$1,100,000 ",-,-,-,"Providing joint-benefits of mitigating impacts of roadway construction and could reduce the risk of flooding for homes in the surrounding area.  Projects could inlcude, but not limited to, detention, sediment control, vegetation management, and other flood risk management projects."
Willow Creek,Storm Repair,Storm Repairs in Willow Creek Watershed,3 & 4,-,"$664,000 ","$531,000 ","$133,000 ",Approximately 11 repair projects of erosion and infrastructure identified after Hurricane Harvey.
Countywide,Partnership,Upgrades and Expansion of the Harris County Flood Warning System,Countywide,-,"$5,000,000 ","$3,750,000 ","$1,250,000 ",Improving existing flood monitoring systems to provide additional near-real time information on flooding in Harris County.
Countywide,Partnership,Harris County Floodplain Mapping Updates,Countywide,-,"$25,000,000 ","$12,500,000 ","$12,500,000 ",Providing more accurate information on the risks of flooding in Harris County.
Countywide,Local,Countywide Floodplain Preservation,Countywide,"$50,000,000 ",-,-,-,Acquisition of Right-Of-Way along various channels in Harris County to preserve channel conveyance and / or restore natural floodplains in areas subject to frequent flooding.
Countywide,Local,"Partnership Projects with Municipalities, Authorities, and Other Districts in Harris County",Countywide,"$100,000,000 ",-,-,-,Jointly funded projects to address flooding with multi-jurisdictional projects..
Countywide,Local,Countywide Ongoing Planning,Countywide,"$10,000,000 ",-,-,-,Ongoing efforts to identify future projects and work efforts to reduce flooding in Harris County watersheds.
Countywide,Local,Partnership Projects with the Harris County Engineering Department,Countywide,"$100,000,000 ",-,-,-,Jointly funded projects that could reduce the risk of flooding in conjunction with Harris County Engineering Department projects.
Countywide,Local,Advanced Emerging Technologies for Flood Damage Reduction,Countywide,"$20,000,000 ",-,-,-,Investigations of new methods to reduce the risk of flooding and to reduce the damages due to flooding in Harris County.
Countywide,Local,Contingency,Countywide,"$430,000,000 ",-,-,-,Unallocated funding for variations in project costs and opportunities identified through public input.
Countywide,Local,Preliminary Engineering for Large Diameter Tunnels for Stormwater Conveyance,Countywide,"$20,000,000 ",-,-,-,Preliminary engineering for implementation of large diameter tunnels to reduce the risk of flooding across Harris County.
