Precinct,Location,Address
1,Crockett Elementary School,"2112 Crockett Street, at Hemphill Street, Houston, 77007-3923"
2,Trinity Lutheran Church Downtown,"800 Houston Avenue, at Washington Avenue, Houston,77007"
3,Hogg Middle School,"1100 Merrill Street, at Norhill Boulevard, Houston, 77009-6009"
4,Travis Elementary School HISD,"3311 Beauchamp Street, at Pecore Street, Houston, 77009-6613"
5,Proctor Plaza Park Community Center,"803 West Temple Street, at Julian Street, Houston, 77009-5257"
6,Hirsch Elementary School,"2633 Trailing Vine Road, near Canyon Lake Drive, Spring,77373-7716"
7,Northeast MultiService Center,"9720 Spaulding Street, at Tidwell Road, Houston, 77016"
8,Fondren Middle School,"6333 South Braeswood Boulevard, near Bob White Drive,Houston, 77096"
9,Settegast Park Community Center,"3000 Garrow Street, at Middleton Street, Houston, 77003-2326"
10,Neighborhood Centers Inc Ripley House Campus,"4410 Navigation Boulevard, at North Jenkins Street,Houston, 77011-1036"
11,Eastwood Park Community Center,"5020 Harrisburg Boulevard, at Dumble Street, Houston,77011-4135"
12,Saint James House,"5800 West Baker Road, at Saint James Place, Baytown,77520-1694"
13,Saint James House,"5800 West Baker Road, at Saint James Place, Baytown,77520-1694"
14,Tinsley Elementary School,"11035 Bob White Drive, at Benning Drive, Houston, 77096-5714"
15,West University Church of Christ,"3407 Bissonnet Street, at Westchester Street, Houston,77005"
16,New High School for Law Enforcement,"3505 Coyle Street, at Tharp Avenue, Houston, 77003"
17,Shearn Elementary School,"9802 Stella Link Road, at Osby Drive, Houston, 77025-4605"
18,Longfellow Elementary School,"3617 Norris Drive, at Timberside Drive, Houston, 77025-3600"
19,New High School for Law Enforcement,"3505 Coyle Street, at Tharp Avenue, Houston, 77003"
20,Trinity Episcopal Church,"1015 Holman Street, at Main Street, Houston, 77004-3810"
21,Emancipation Park,"3018 Emancipation Avenue, near Elgin Street, Houston,77004-3159"
22,Foerster Elementary School,"14200 Fonmeadow Drive, at Haviland Street, Houston,77035-5218"
23,Raul Yzaguirre School for Success Tejano Center BuildingB,"2950 Broadway Boulevard, at Kimble Street, Houston,77017-1794"
24,Baylor College of Medicine Academy at Ryan Middle School,"2610 Elgin Street, at Live Oak Street, Houston, 77004"
25,Baylor College of Medicine Academy at Ryan Middle School,"2610 Elgin Street, at Live Oak Street, Houston, 77004"
26,EB Cape Center,"4501 Leeland Street, at Bell Street, Houston, 77023-3010"
27,Yolanda Black Navarro Middle School,"5100 Polk Street, near Baird Street, Houston, 77023"
28,Wyndham Park Apartments,"2700 Rollingbrook Drive, at Rollingcreek Drive, Baytown,77521-3670"
29,South Houston Intermediate School,"900 College Avenue, at Austin Street, South Houston,77587-4261"
30,H O A P V Community Building,"1810 Bluebonnet Place Circle, at Valentine Way Drive,Houston, 77019-2999"
31,Whidby Elementary School,"7625 Springhill Street, at Saint Benedict Street, Houston,77021-6033"
32,Randalls Midtown,"2225 Louisiana Street, at Hadley Street, Houston, 77002-8625"
33,African American Library,"1300 Victor Street, enter on Cleveland Street, Houston,77019-5534"
34,Hostelling International Houston The Morty Rich Hostel,"501 Lovett Boulevard, at Whitney Street, Houston, 77006-4020"
35,Ramada Inn,"6115 Will Clayton Parkway, at Kenswick Drive, Humble,77338-8127"
36,Daniel Ortiz Middle School,"6767 Telephone Road, at Dillon Street, Houston, 77061-2056"
37,Woodrow Wilson Elementary School,"2100 Yupon Street, at Indiana Street, Houston, 77006-1830"
38,Woodrow Wilson Elementary School,"2100 Yupon Street, at Indiana Street, Houston, 77006-1830"
39,Bering United Methodist Church,"1440 Harold Street, at Mulberry Street, Houston, 77006-3730"
40,Poe Elementary School,"5100 Hazard Street, at South Boulevard, Houston, 77098-5330"
41,Immanuel United Church,"26501 Border Street, at Spring Cypress Road, Spring,77373-8301"
42,Kashmere MultiService Center,"4802 Lockwood Drive, at Rand Road, Houston, 77026-2941"
43,Landrum Middle School,"2202 Ridgecrest Drive, at Vogue Lane, Houston, 77055-1212"
44,Leonel J Castillo Community Center,"2101 South Street, at Henry Street, Houston, 77009-8039"
45,C E King Middle School,"8530 C E King Parkway, at Tidwell Road, Houston, 77044-2098"
46,John Marshall Middle School,"1115 Noble Street, near Marion Street, Houston, 77009-8437"
47,Dogan Elementary School,"4202 Liberty Road, near Altoona Street, Houston, 77009-8437"
48,Mickey Leland College Preparatory Academy for YoungMen,"1700 Gregg Street, at Lyons Avenue, Houston, 77020"
49,Roberts Road Elementary School,"24920 Zube Road, at Roberts Road, Hockley, 77447-7842"
50,La Quinta Inn Houston CyFair,"13290 FM 1960 Road West, at US 290 Frontage Road,Houston, 77095-1921"
51,J P Dabbs Elementary School,"302 Lambuth Lane, at Center Street, Deer Park, 77536-6399"
52,Old High School for Law Enforcement and Criminal Justice,"4701 Dickson Street, at Parker Street, Houston, 77007-7304"
53,First Baptist Church Heights Fellowship Hall,"201 East 9th Street, at Harvard Street, Houston, 77007-1601"
54,Love School,"1120 West 13th Street, at North Shepherd Drive, Houston,77008"
55,Hampton Inn and Suites,"5820 Katy Freeway, at Washington Avenue, Houston,77007-2102"
56,Shadow Oaks Elementary School,"1335 Shadowdale Drive, at Westview Drive, Houston,77043-4208"
57,Heights High School,"413 East 13th Street, at Arlington Street, Houston, 77008-7021"
58,Love Park Community Center,"1000 West 12th Street, at North Shepherd, Houston, 77008-6619"
59,Field Elementary School,"703 East 17th Street, at Studewood Street, Houston, 77008-4414"
60,Lanier Middle School,"2600 Woodhead Street, at Westheimer Road, Houston,77098-1615"
61,Evelyn Thompson Elementary School,"220 Casa Grande Drive, at Buckle Street, Houston, 77060-4899"
62,Denver Harbor Park Community Center,"6402 Market Street, at Rouse Street, Houston, 77020-6840"
63,Highlands Elementary School GCCISD,"200 East Wallisville Road, at FM 2100, Highlands, 77562-3896"
64,Gallegos Elementary School,"7415 Harrisburg Boulevard, at 74th Street, Houston, 77011-4740"
65,DeZavala Park Community Center,"907 76th Street, at Avenue H, Houston, 77012-1199"
66,John R Harris Elementary School,"801 Broadway Street, at Magnolia Street, Houston, 77012-2124"
67,Brookline Elementary School,"6301 South Loop 610 East, at Askew Street, Houston, 77087-1012"
68,Sunnyside Park Community Center,"3502 Bellfort Street, at Woodard Street, Houston, 77051-1402"
69,Edison Middle School,"6901 Avenue I, at Maltby Street, Houston, 77011-2629"
70,Memorial Elementary School,"6401 Arnot Street, at Pickens Street, Houston, 77007-2007"
71,Hampton Inn and Suites,"5820 Katy Freeway, at Washington Avenue, Houston,77007"
72,Mason Park Community Center,"541 South 75th Street, at Tipps Street, Houston, 77023-2701"
73,Durham Elementary School,"4803 Brinkman Street, at Candlelight Lane, Houston, 77018-2021"
74,City Jersey Village Municipal Government Center,"16327 Lakeview Drive, near Acapulco Drive, Houston,77040-2029"
75,Helms Community Learning Center,"503 West 21st Street, at Lawrence Street, Houston, 77008-3641"
76,Beverly Hills Intermediate School,"11111 Beamer Road, at Kirkholm Drive, Houston, 77089-2305"
77,Armandina Farias Early Childhood Center,"515 Rittenhouse Street, at Nordling Road, Houston, 77076"
78,Harris County Department of Education,"6300 Irvington Boulevard, at Caplin Street, Houston, 77022-5618"
79,Charles Eliot Elementary School,"6411 Laredo Street, at Kress Street, Houston, 77020-4930"
80,Judson Robinson Junior Elementary School,"12425 Woodforest Boulevard, Houston, 77013"
81,Galena Park Library,"1500 Keene Street, at 16th Street, Galena Park, 77547-2400"
82,Memorial Chase Home Owners Association Clubhouse,"9411 Landry Boulevard, near Chaseloch Drive, Spring,77379-3857"
83,The Light of the World Christian Fellowship,"16161 Old Humble Road, at Greens Road, Humble, 77396-3851"
84,Deer Park Junior High School,"410 East 9th Street, near Columbia Street, Deer Park,77536"
85,Saint Luke the Evangelist Episcopal Church,"3530 Wheeler Avenue, at Attucks Street, Houston, 77004-5527"
86,Courtyard Houston Brookhollow,"2504 North Loop West, near T C Jester Boulevard, Houston,77092"
87,West University Scout House,"6108 Edloe Street, at Rice Boulevard, Houston, 77005-2899"
88,Bayshore Elementary School,"800 McCabe Road, at Highway 146, La Porte, 77571-6717"
89,Southside Place Park Clubhouse,"3743 Garnet Street, at Chilos Street, Houston, 77005-3715"
90,City of El Lago City Hall,"411 Tallowood Drive, at Ferndale Drive, El Lago, 77586-6060"
91,Webster Civic Center,"311 Pennsylvania Avenue, at South Austin Street, Webster,77598-5230"
92,Armand Bayou Elementary School,"16000 Hickory Knoll Drive, at Running Springs, Houston,77059-5299"
93,Pearl Hall Elementary School,"1504 9th Street, at Avenue North, South Houston, 77587-5000"
94,Pearl Rucker Elementary School,"5201 Vinett Street, at Ahrens Street, Houston, 77017-4958"
95,Econolodge,"715 Highway 6 South, near Memorial Drive, Houston,77079-4003"
96,Sheldon ISD Administration Building  Network OperationsCenter,"11411B CE King Parkway, near Garrett Road, Houston,77044-7192"
97,Newport Elementary School,"430 North Diamondhead Boulevard, at Port O Call, Crosby,77532-4103"
98,West Campus Gym,"24403 East Lake Houston Parkway, at Berrys Way,Huffman, 77336-4447"
99,Sterling Municipal Library,"1 Mary Elizabeth Wilbanks Avenue, at West Sterling Drive,Baytown, 77520"
100,Ashbel Smith Elementary School,"403 East James Street, at North 4th Street, Baytown,77520-5065"
101,Harvest Time Church Community Center,"17770 Imperial Valley Drive, at Harvest Time Lane,Houston, 77060-6100"
102,Baytown Community Center,"2407 Market Street, near Civic Circle, Baytown, 77520-6204"
103,Comfort Suites,"7209 Garth Road, at IH 10 East, Baytown, 77521-8706"
104,The Launch Center,"5807 Little York Road, near Maple Leaf Street,  Houston,77016"
105,Clark Park Community Center,"9718 Clark Road, at Dipping Lane, Houston, 77076-5031"
106,Aldine Middle School,"14908 Aldine Westfield Road, at Aldine Bender Road,Houston, 77032-3097"
107,Berry Elementary School,"2310 Berry Road, at Schneider Street, Houston, 77093-7418"
108,HCPL Octavia Fields Branch Library,"1503 South Houston Avenue, at Will Clayton Parkway,Humble, 77338-4822"
109,G W Carver Contemporary High School,"2100 South Victory Drive, at Emma Lou Street, Houston,77088-7699"
110,McNabb Elementary School,"743 East Cypresswood Drive, at Whitewood Drive, Spring,77373"
111,CyFair Volunteer Fire Department,"20444 Cypresswood Drive, near Mason Road, Cypress,77433"
112,Krahn Elementary School,"9502 Eday Drive, at Bonnie Sean, Spring, 77379-4315"
113,Champions Emergency Services District,"12730 Champion Forest Drive, at Old Lodge Drive, Houston,77066-1528"
114,Samuel Matthews Park Community Center,"1728 Hufsmith Road, at Stanolind Road, Tomball, 77375-4918"
115,Lakewood Park Community Center,"8811 Feland Street, at East Houston Street, Houston,77028-2016"
116,City of Spring Valley City Hall,"1025 Campbell Road, near Bace Drive, Houston, 77055-7495"
117,Quality Inn and Suites Hwy 290 Brookhollow,"12439 Northwest Freeway, near Bingle Road, Houston,77092"
118,Fall Creek Elementary School,"14435 Mesa Drive, near Redstone Bend Drive, Humble,77396-4457"
119,Katy Branch Harris County Public Library,"5414 Franz Road, at Drexel Street, Katy, 77493-1717"
120,Encourager Church,"10950 Katy Freeway, near Brittmore Road, Houston, 77043-3504"
121,Roberts Road Elementary School,"24920 Zube Road, at Roberts Road, Hockley, 77447-7842"
122,John F Kennedy Elementary School,"400 Victoria Drive, at Werner Street, Houston, 77022-2422"
123,Montrose Branch Houston Public Library,"4100 Montrose Boulevard, at Colquitt Street, Houston,77006-4938"
124,Ault Elementary School,"21010 Maple Village Drive, at Vintage Falls Drive, Cypress,77433-5722"
125,Bleyl Middle School,"10800 Mills Road, at Jones Road, Houston, 77070-4499"
126,Rosehill Elementary School,"17950 Waller Tomball Road, at Decker Prairie RosehillRoad, Tomball, 77377-2622"
127,Tomball City Hall Council Chamber,"401 Market Street, enter Police Dept entrance, Tomball,77375-4697"
128,CenterPoint Energy Community Center,"7001 5th Street, at Laurel Street, Bellaire, 77401"
129,Briargrove Elementary School,"6145 San Felipe Street, at Briarmead Drive, Houston,77057-2801"
130,Briargrove Park Property Owners Building,"2301 Seagler Road, at Piping Rock, Houston, 77042-2997"
131,Abiding Faith United Methodist Church,"14300 Almeda School Road, at Fellows Road, Houston,77047-7102"
132,Saint Philip Neri Catholic Church,"10960 Martin Luther King Boulevard, at Cedarburg Drive,Houston, 77048-1896"
133,West University Elementary School,"3756 University Boulevard, at Edloe Stree, Houston, 77005"
134,Garden Villa Park Community Center,"6720 South Haywood Drive, at Ashburn Street, Houston,77061-1514"
135,River Oaks Recreation Center,"3600 Locke Lane, at Timber Lane, Houston, 77027-4003"
136,Saint James Episcopal Church,"3129 Southmore Boulevard, at the Rail Road Tracks,Houston, 77004-6214"
137,Bernshausen Elementary School,"11116 Mahaffey Road, near Crestbrook Park Lane, Tomball,77375-6908"
138,Ross Elementary School,"2819 Bay Street, at Eastex Freeway, Houston, 77026-3203"
139,Lamar Senior High School,"3325 Westheimer Road, at Eastside Street, Houston,77098-1003"
140,Thompson Elementary School,"6121 Tierwester Street, at Griggs Road, Houston, 77021-1311"
141,Alice Johnson Junior High School,"15500 Proctor Street, at Ashland Boulevard, Channelview,77530-2697"
142,Charlton Park Recreation Center,"8200 Park Place Boulevard, at Findlay Street, Houston,77017-3105"
143,Cy Fair College Library at Lone Star,"9191 Barker Cypress Road, at West Road, Cypress, 77433-1383"
144,Harris County Annex No 36,"3815 Cavalcade Street, at East Lane, Houston, 77026-3403"
145,Wesley United Methodist Church,"7225 Homestead Road, at Kittridge Street, Houston, 77028-3847"
146,Platou Community Center,"11655 Chimney Rock Road, at Burdine Street, Houston,77035-2807"
147,Walter and Inez Stovall Academy,"3025 Ellington Street, at Scenic Green Drive, Houston,77088-4599"
148,Roberts Elementary School,"6000 Greenbriar Street, at Swift Boulevard, Houston, 77030-1145"
149,Woodie Coker Andre Elementary School,"8111 Fry Road, at Longenbaugh Road, Cypress, 77433"
150,Faith Christian Center,"10118 Tidwell Road, near Brock Park Boulevard, Houston,77078-3702"
151,Shadydale Elementary School,"5905 Tidwell Road, at Allwood Street, Houston, 77016-4745"
152,Shady Lane Park Community Center,"10220 Shady Lane, at Parker Road, Houston, 77093-4604"
153,Janowski Elementary School,"7500 Bauman Road, at Van Molan Street, Houston, 77022-6125"
154,HCC Southeast College Building C Parking Garage,"6960 Rustic Street, at Garland Drive, Houston, 77087"
155,Kirk Elementary School,"12421 Tanner Road, East of North Eldridge Parkway,Houston, 77041-6505"
156,Lora B Peck Elementary School,"5001 Martin Luther King Boulevard, at Arvilla Lane,Houston, 77021-2711"
157,Highland Park Recreation Center,"3316 De Soto Street, at Balbo Street, Houston, 77091-3716"
158,Reynolds Elementary School,"9601 Rosehaven Drive, at Sunbeam Street, Houston,77051-3132"
159,Bruce Elementary School,"510 Jensen Drive, at Grayson Street, Houston, 77020-5834"
160,Bruce Elementary School,"510 Jensen Drive, at Grayson Street, Houston, 77020-5834"
161,Julia C Hester House,"2020 Solo Street, at Rawley Street, Houston, 77020-4224"
162,Woodland Acres Middle School,"12947 Myrtle Lane, near Cheatham Lane, Houston, 77015"
163,First Baptist Church of Jacinto City,"10701 WIggins Street, at Kerbey Street, Jacinto City, 77029-2515"
164,Clinton Park Community Center,"200 Mississippi Street, at Midway Street, Houston, 77029"
165,Spring Woods High School,"2045 Gessner Road, at Hammerly Boulevard, Houston,77080-6327"
166,Saint Anne de Beaupre Catholic Church,"2810 Link Road, at East 29th Street, Houston, 77009-1196"
167,Ross Elementary School,"2819 Bay Street, at Eastex Freeway, Houston, 77026-3203"
168,Felix Cook Junior Elementary School,"7115 Lockwood Drive, at Bennington Street, Houston,77016-7027"
169,A B Anderson Academy,"7401 Wheatley Street, at Dolly Wright, Houston, 77088-7845"
170,McMasters Elementary School,"1011 Bennett Drive, at Cedarcrest Drive, Pasadena, 77503-2205"
171,Hill Zion Missionary Baptist Church,"8317 Curry Road, at Bostic Street, Houston, 77093-8307"
172,Golfcrest Elementary School,"7414 Fairway Drive, at Joplin Street, Houston, 77087-3623"
173,Lakes of Northpointe Clubhouse,"13502 Northpointe Ridge Lane, at Glade Bridge Court,Cypress, 77429"
174,University Baptist Church,"16106 Middlebrook Drive, at Glenshannon Street, Houston,77059-6034"
175,Sheltering Arms Community Center,"3838 Aberdeen Way, near Stella Link Road, Houston,77025-2416"
176,Lovett Elementary School,"8814 South Rice Avenue, at Jason Street, Houston, 77096-2622"
177,River Oaks Recreation Center,"3600 Locke Lane, at Timber Lane, Houston, 77027-4003"
178,Hampton Inn Galleria,"4500 Post Oak Parkway, at West Loop, Houston, 77027-3419"
179,Freed Park Clubhouse,"6818 Shadyvilla Lane, at Afton, Houston, 77055-5200"
180,M E Foster Elementary School,"3919 Ward Street, near Scott Street, Houston, 77021-4861"
181,Pearl Rucker Elementary School,"5201 Vinett Street, at Ahrens Street, Houston, 77017-4958"
182,Faith American Lutheran Church,"4600 Bellaire Boulevard, at White Drive, Bellaire, 77401-4296"
183,West University Elementary School,"3756 University Boulevard, at Edloe Street, Houston, 77005"
184,Independence Hall Apartments Community Room,"6 Burress Street, at Airline Drive, Houston, 77022-1944"
185,Ralph G Goodman Elementary School,"9325 Deer Trail Drive, at West Mount Houston Road,Houston, 77088-1999"
186,Tuffly Park Recreation Center,"3200 Russell Street, at Lucille Street, Houston, 77026-4728"
187,Denver Harbor Park Community Center,"6402 Market Street, at Rouse Street, Houston, 77020-6840"
188,Williams Elementary School,"1522 Scarborough Lane, at Northwood Street, Pasadena,77502-1674"
189,Oak Forest Elementary School,"1401 West 43rd Street, at Oak Forest Drive, Houston,77018-4106"
190,Pasadena High School,"206 South Shaver Street, at Eagle Avenue, Pasadena,77506-2016"
191,Pomeroy Elementary School,"920 Burke Road, at Jenkins Road, Pasadena, 77506-5242"
192,Burrus Elementary School,"701 East 33rd Street, at Bacchus Street, Houston, 77022-5101"
193,Third Ward Multi Service Center,"3611 Ennis Street, at Winbern Street, Houston, 77004-4407"
194,MacGregor Elementary School,"4801 LaBranch Street, at Wentworth Street, Houston,77004-5650"
195,Burrus Elementary School,"701 East 33rd Street, at Bacchus Street, Houston, 77022-5101"
196,Ross Elementary School,"2819 Bay Street, at Eastex Freeway, Houston, 77026-3203"
197,Osborne Elementary School,"800 Ringold Street, at Lawn Street, Houston, 77088-6337"
198,Emancipation Park,"3018 Emancipation Avenue, near Elgin Street, Houston,77004-3159"
199,Foster Elementary School,"1800 Trailwood Village, at Lake Village Drive, Kingwood,77339"
200,Metropolitan MultiService Center,"1475 West Gray Street, at Metropolitan Street, Houston,77019-4926"
201,Dogan Elementary School,"4202 Liberty Road, near Altoona Street, Houston, 77009-8437"
202,Wheatley Senior High School,"4801 Providence Street, at Finnigan Street, Houston,77020-7235"
203,Houston Federation of Teachers,"2704 Sutherland Street, near Carrolton Street, Houston,77023-5399"
204,Lazybrook Baptist Church,"1822 West 18th Street, near Ella Boulevard, Houston,77008-1204"
205,Fonwood Elementary School,"9709 Mesa Drive, at Sterlingshire Street, Houston, 77078"
206,Montie Beach Park Community Center,"915 Northwood Street, at Coronado Street, Houston, 77009-3703"
207,Saint Albans Episcopal Church,"420 Woodard Street, at Helmers Street, Houston, 77009-1824"
208,Galena Park City Hall,"2000 Clinton Drive, at Center Street, Galena Park, 77547-2837"
209,City of Spring Valley City Hall,"1025 Campbell Road, near Bace Drive, Houston, 77055-7495"
210,Saint Marys Catholic Church,"3006 Rosedale Street, at Ennis Street, Houston, 77004-6199"
211,Charlton Park Recreation Center,"8200 Park Place Boulevard, at Findlay Street, Houston,77017-3105"
212,Anclamars W Reception,"10330 Eastex Freeway, south of Lakewood Drive, Houston,77093-4902"
213,Hunters Creek Elementary School,"10650 Beinhorn Road, at Wade Hampton Drive, Houston,77024-3199"
214,Cunningham Elementary School,"5100 Gulfton Street, near South Rice Avenue, Houston,77081"
215,Faith American Lutheran Church,"4600 Bellaire Boulevard, at White Drive, Bellaire, 77401-4296"
216,Montgomery Elementary School,"4000 Simsbrook Drive, at Bathurst Drive, Houston, 77045-5628"
217,Saint Anne Catholic Church,"2140 Westheimer Road, near Greenbriar Drive, Houston,77098-1496"
218,J P Henderson Elementary School,"1800 Dismuke Street, at Berremore Street, Houston, 77023-4753"
219,Mount Olive Baptist Church,"3515 Yellowstone Boulevard, at Cadillac Street, Houston,77021-2407"
220,L W Kolarik Education Center,"1120 Sheldon Road, at Bear Bayou Drive, Channelview,77530-3518"
221,Meadowcreek Village Park Community Center,"5333 Berry Creek Drive, at Winding Creek Way, Houston,77017-6254"
222,Christ The King Lutheran Church Parish Hall,"2353 Rice Boulevard, at Greenbriar Street, Houston, 77005-2696"
223,Holiday Inn Houston NRG Med Center Area,"8111 Kirby Drive, at LaConcha Lane, Houston, 77054-1705"
224,Linkwood Park Community Center,"3699 Norris Drive, at Ilona Lane, Houston, 77025-3600"
225,Village On The Park,"12102 Steeple Way Boulevard, near West Road, Houston,77065-4759"
226,Ingrando Park Recreation Center,"7302 Keller Street, at Kellogg Street, Houston, 77012-3518"
227,River Oaks Elementary School,"2008 Kirby Drive, at San Felipe Street, Houston, 77019-6016"
228,HC Courthouse Annex 14 Southeast,"5737 Cullen Boulevard, at Glen Cove Drive, Houston,77021-1690"
229,Jacinto City Town Center Community Center,"1025 Oates Road, at Challenger 7, Jacinto City, 77029-2037"
230,New Mount Carmel Baptist Church,"4301 Weaver Road, at Hirsch Road, Houston, 77016-5634"
231,Golfcrest Elementary School,"7414 Fairway Drive, at Joplin Street, Houston, 77087-3623"
232,Pershing Middle School,"3838 Blue Bonnet Boulevard, at Braes Boulevard, Houston,77025-1230"
233,Four Points by Sheraton Houston Greenway Plaza,"2828 Southwest Freeway, at Wakeforest Avenue, Houston,77098-4502"
234,Tanglewood Middle School,"5215 San Felipe Street, at Sage Road, Houston, 77056-3605"
235,Hartsfield Elementary School,"5001 Perry Street, at Milart Street, Houston, 77021-3515"
236,Norris Chapel United Methodist Church,"7415 Saint Lo Road, at Van Fleet Street, Houston, 77033-2731"
237,Jones Future Academy,"7414 Saint Lo Road, at Van Fleet Street, Houston, 77033-2797"
238,Kelso Elementary School,"5800 Southmund Street, at Crestridge Street, Houston,77033-1832"
239,Edgewood Park Community Center,"5803 Bellfort Street, at Southbank Street, Houston, 77033-2143"
240,Sunnyside MultiService Center,"9314 Cullen Boulevard, at Wilmington Street, Houston,77051"
241,Aldine Middle School,"14908 Aldine Westfield Road, at Aldine Bender Road,Houston, 77032-3097"
242,Bailey Elementary School,"2707 Lafferty Road, at Parkside Drive, Pasadena, 77502-5194"
243,Crestmont Park Community Center,"5200 Selinsky Road, at Glenhollow Drive, Houston, 77048-1739"
244,Willbern Elementary School,"10811 Goodspring Drive, at Legacy Park Drive, Houston,77064-9419"
245,Kohrville Elementary School,"11600 Woodland Shore Drive, at Sandy Woods Drive,Tomball, 77375-8098"
246,Revival House Church,"2560 Old Louetta Loop, near Louetta Road, Spring, 77388-4711"
247,Cuney Homes Community Center,"3260 Truxillo Street, at Burkett Street, Houston, 77004-4649"
248,Baytown City Hall Annex,"220 West Defee Street, at North Gaillard Street, Baytown,77520-4010"
249,De Zavala Elementary School,"305 Tri City Beach Road, at FM 2354, Baytown, 77520-7313"
250,JD Walker Community Center,"7613 Wade Road, near Jones Road, Baytown, 77521-8338"
251,Charles R Drew Elementary School,"223 Red Oak Avenue, at Penn Street, Crosby, 77532-8660"
252,Greater New Hope Missionary Baptist Church,"10505 Bainbridge Street, at Calgary Lane, Houston, 77016-3007"
253,Little Union Missionary Baptist Church,"6609 Letcher Drive, at Henson Street, Houston, 77028-4029"
254,Anclamars W Reception,"10330 Eastex Freeway, south of Lakewood Drive, Houston,77093-4902"
255,Red Elementary School,"4520 Tonawanda Drive, at Cliffwood Drive, Houston, 77035-3716"
256,William S Sutton Elementary School,"7402 Albacore Drive, at Sharpview Drive, Houston, 77074-6512"
