zip,projects,buyout,input,local,partnership,stormRepair,subdivision, localsum , grantsum , totalsum , partnersum , matchsum 
77002,39,2,14,10,9,3,1," $217,150,000 "," $751,275,000 "," $968,425,000 "," $528,932,500 "," $222,342,500 "
77003,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77004,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77005,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77006,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77007,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77008,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77009,22,2,7,3,7,2,1," $85,500,000 "," $582,325,000 "," $667,825,000 "," $454,167,500 "," $128,157,500 "
77011,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77012,52,3,16,18,8,5,2," $259,650,000 "," $724,525,000 "," $984,175,000 "," $486,550,000 "," $237,975,000 "
77013,34,3,4,2,20,3,2," $28,500,000 "," $875,540,000 "," $904,040,000 "," $694,780,000 "," $180,760,000 "
77015,50,5,8,6,22,5,4," $78,500,000 "," $1,199,940,000 "," $1,278,440,000 "," $938,090,000 "," $261,850,000 "
77016,6,1,2,1,1,1,0," $20,500,000 "," $91,775,000 "," $112,275,000 "," $78,835,000 "," $12,940,000 "
77017,29,2,7,10,5,3,2," $107,500,000 "," $463,800,000 "," $571,300,000 "," $332,950,000 "," $130,850,000 "
77019,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77020,19,1,8,7,1,2,0," $109,200,000 "," $129,750,000 "," $238,950,000 "," $100,215,000 "," $29,535,000 "
77021,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77022,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77023,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77024,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77025,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77026,19,1,8,7,1,2,0," $109,200,000 "," $129,750,000 "," $238,950,000 "," $100,215,000 "," $29,535,000 "
77027,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77028,34,3,4,2,20,3,2," $28,500,000 "," $875,540,000 "," $904,040,000 "," $694,780,000 "," $180,760,000 "
77029,19,2,6,5,3,2,1," $70,500,000 "," $409,225,000 "," $479,725,000 "," $316,927,500 "," $92,297,500 "
77030,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77031,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77032,41,3,6,7,19,3,3," $212,900,000 "," $1,133,780,000 "," $1,346,680,000 "," $879,845,000 "," $253,935,000 "
77033,22,1,6,6,6,2,1," $105,450,000 "," $368,325,000 "," $473,775,000 "," $226,477,500 "," $141,847,500 "
77034,26,2,5,9,6,3,1," $70,250,000 "," $187,750,000 "," $258,000,000 "," $120,917,500 "," $66,832,500 "
77035,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77036,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77037,44,3,7,3,25,3,3," $73,000,000 "," $1,274,315,000 "," $1,347,315,000 "," $991,277,500 "," $283,037,500 "
77038,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77039,28,2,2,1,19,2,2," $8,000,000 "," $783,765,000 "," $791,765,000 "," $615,945,000 "," $167,820,000 "
77040,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77041,46,1,11,15,14,3,2," $279,700,000 "," $806,845,000 "," $1,086,545,000 "," $620,180,000 "," $186,665,000 "
77042,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77043,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77044,44,4,6,5,21,4,4," $58,000,000 "," $1,108,165,000 "," $1,166,165,000 "," $859,255,000 "," $248,910,000 "
77045,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77046,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77047,27,1,9,8,5,2,2," $94,000,000 "," $434,210,000 "," $528,210,000 "," $290,430,000 "," $143,780,000 "
77048,27,1,9,8,5,2,2," $94,000,000 "," $434,210,000 "," $528,210,000 "," $290,430,000 "," $143,780,000 "
77049,44,4,6,5,21,4,4," $58,000,000 "," $1,108,165,000 "," $1,166,165,000 "," $859,255,000 "," $248,910,000 "
77051,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77053,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77054,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77055,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77056,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77057,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77058,25,2,8,7,5,2,1," $64,750,000 "," $330,035,000 "," $394,785,000 "," $222,232,500 "," $107,802,500 "
77059,10,1,2,3,3,1,," $12,750,000 "," $41,400,000 "," $54,150,000 "," $26,060,000 "," $15,340,000 "
77061,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77062,25,2,8,7,5,2,1," $64,750,000 "," $330,035,000 "," $394,785,000 "," $222,232,500 "," $107,802,500 "
77063,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77064,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77065,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77068,13,1,4,6,0,1,1," $204,900,000 "," $350,015,000 "," $554,915,000 "," $263,900,000 "," $86,115,000 "
77069,13,1,4,6,0,1,1," $204,900,000 "," $350,015,000 "," $554,915,000 "," $263,900,000 "," $86,115,000 "
77070,29,2,9,8,6,2,2," $269,900,000 "," $840,565,000 "," $1,110,465,000 "," $639,232,500 "," $201,332,500 "
77071,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77072,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77073,41,3,6,7,19,3,3," $212,900,000 "," $1,133,780,000 "," $1,346,680,000 "," $879,845,000 "," $253,935,000 "
77074,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77075,27,1,9,8,5,2,2," $94,000,000 "," $434,210,000 "," $528,210,000 "," $290,430,000 "," $143,780,000 "
77076,44,3,7,3,25,3,3," $73,000,000 "," $1,274,315,000 "," $1,347,315,000 "," $991,277,500 "," $283,037,500 "
77077,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77078,28,2,2,1,19,2,2," $8,000,000 "," $783,765,000 "," $791,765,000 "," $615,945,000 "," $167,820,000 "
77079,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77080,29,1,11,8,6,2,1," $153,700,000 "," $528,525,000 "," $682,225,000 "," $396,712,500 "," $131,812,500 "
77081,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77082,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77083,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77084,30,0,6,13,8,2,1," $214,700,000 "," $316,295,000 "," $530,995,000 "," $244,847,500 "," $71,447,500 "
77085,12,0,3,4,3,1,1," $42,000,000 "," $145,575,000 "," $187,575,000 "," $94,257,500 "," $51,317,500 "
77086,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77087,22,1,6,6,6,2,1," $105,450,000 "," $368,325,000 "," $473,775,000 "," $226,477,500 "," $141,847,500 "
77088,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77090,41,3,6,7,19,3,3," $212,900,000 "," $1,133,780,000 "," $1,346,680,000 "," $879,845,000 "," $253,935,000 "
77091,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77092,16,1,5,2,6,1,1," $65,000,000 "," $490,550,000 "," $555,550,000 "," $375,332,500 "," $115,217,500 "
77093,34,3,4,2,20,3,2," $28,500,000 "," $875,540,000 "," $904,040,000 "," $694,780,000 "," $180,760,000 "
77094,18,0,6,7,2,2,1," $118,700,000 "," $84,245,000 "," $202,945,000 "," $48,512,500 "," $35,732,500 "
77095,30,1,4,13,8,2,2," $330,900,000 "," $628,335,000 "," $959,235,000 "," $487,367,500 "," $140,967,500 "
77096,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77099,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77302,13,1,4,4,2,1,1," $50,000,000 "," $317,450,000 "," $367,450,000 "," $238,092,500 "," $79,357,500 "
77306,13,1,4,4,2,1,1," $50,000,000 "," $317,450,000 "," $367,450,000 "," $238,092,500 "," $79,357,500 "
77327,17,1,4,7,2,2,1," $70,500,000 "," $317,525,000 "," $388,025,000 "," $238,152,500 "," $79,372,500 "
77336,34,2,4,20,2,3,3," $330,500,000 "," $323,275,000 "," $653,775,000 "," $242,472,500 "," $80,802,500 "
77338,61,5,10,14,22,5,5," $323,400,000 "," $1,483,265,000 "," $1,806,665,000 "," $1,135,736,250 "," $347,528,750 "
77339,13,1,4,4,2,1,1," $50,000,000 "," $317,450,000 "," $367,450,000 "," $238,092,500 "," $79,357,500 "
77345,13,1,4,4,2,1,1," $50,000,000 "," $317,450,000 "," $367,450,000 "," $238,092,500 "," $79,357,500 "
77346,41,3,6,5,21,3,3," $58,000,000 "," $1,101,215,000 "," $1,159,215,000 "," $854,037,500 "," $247,177,500 "
77354,20,2,4,7,3,2,2," $110,500,000 "," $349,485,000 "," $459,985,000 "," $255,891,250 "," $93,593,750 "
77355,7,1,0,3,1,1,1," $60,500,000 "," $32,035,000 "," $92,535,000 "," $17,798,750 "," $14,236,250 "
77357,17,1,4,7,2,2,1," $70,500,000 "," $317,525,000 "," $388,025,000 "," $238,152,500 "," $79,372,500 "
77362,7,1,0,3,1,1,1," $60,500,000 "," $32,035,000 "," $92,535,000 "," $17,798,750 "," $14,236,250 "
77363,7,1,0,3,1,1,1," $60,500,000 "," $32,035,000 "," $92,535,000 "," $17,798,750 "," $14,236,250 "
77365,13,1,4,4,2,1,1," $50,000,000 "," $317,450,000 "," $367,450,000 "," $238,092,500 "," $79,357,500 "
77372,13,1,4,4,2,1,1," $50,000,000 "," $317,450,000 "," $367,450,000 "," $238,092,500 "," $79,357,500 "
77373,20,2,4,9,1,2,2," $265,400,000 "," $382,050,000 "," $647,450,000 "," $281,698,750 "," $100,351,250 "
77375,27,3,4,14,1,3,2," $333,000,000 "," $384,825,000 "," $717,825,000 "," $283,813,750 "," $101,011,250 "
77377,41,4,4,25,2,3,3," $470,800,000 "," $433,315,000 "," $904,115,000 "," $320,181,250 "," $113,133,750 "
77379,20,2,4,11,0,2,1," $272,500,000 "," $352,790,000 "," $625,290,000 "," $266,015,000 "," $86,775,000 "
77380,20,2,4,7,3,2,2," $110,500,000 "," $349,485,000 "," $459,985,000 "," $255,891,250 "," $93,593,750 "
77381,20,2,4,7,3,2,2," $110,500,000 "," $349,485,000 "," $459,985,000 "," $255,891,250 "," $93,593,750 "
77382,7,1,0,3,1,1,1," $60,500,000 "," $32,035,000 "," $92,535,000 "," $17,798,750 "," $14,236,250 "
77384,7,1,0,3,1,1,1," $60,500,000 "," $32,035,000 "," $92,535,000 "," $17,798,750 "," $14,236,250 "
77385,13,1,4,4,2,1,1," $50,000,000 "," $317,450,000 "," $367,450,000 "," $238,092,500 "," $79,357,500 "
77386,20,2,4,7,3,2,2," $110,500,000 "," $349,485,000 "," $459,985,000 "," $255,891,250 "," $93,593,750 "
77388,13,1,4,6,0,1,1," $204,900,000 "," $350,015,000 "," $554,915,000 "," $263,900,000 "," $86,115,000 "
77389,27,3,4,14,1,3,2," $333,000,000 "," $384,825,000 "," $717,825,000 "," $283,813,750 "," $101,011,250 "
77396,28,2,2,1,19,2,2," $8,000,000 "," $783,765,000 "," $791,765,000 "," $615,945,000 "," $167,820,000 "
77401,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77406,13,0,6,6,0,1,0," $88,700,000 "," $37,975,000 "," $126,675,000 "," $21,380,000 "," $16,595,000 "
77407,23,1,9,8,3,2,0," $152,150,000 "," $260,725,000 "," $412,875,000 "," $153,600,000 "," $107,125,000 "
77423,5,0,0,1,2,1,1," $30,000,000 "," $46,270,000 "," $76,270,000 "," $27,132,500 "," $19,137,500 "
77429,50,4,9,24,7,3,3," $475,300,000 "," $891,830,000 "," $1,367,130,000 "," $677,715,000 "," $214,115,000 "
77433,51,3,4,29,9,3,3," $536,300,000 "," $679,600,000 "," $1,215,900,000 "," $525,850,000 "," $153,750,000 "
77447,51,3,4,27,10,3,4," $529,200,000 "," $708,860,000 "," $1,238,060,000 "," $541,533,750 "," $167,326,250 "
77449,35,0,6,14,10,3,2," $244,700,000 "," $362,565,000 "," $607,265,000 "," $271,980,000 "," $90,585,000 "
77450,18,0,6,7,2,2,1," $118,700,000 "," $84,245,000 "," $202,945,000 "," $48,512,500 "," $35,732,500 "
77477,22,1,6,6,6,2,1," $105,450,000 "," $368,325,000 "," $473,775,000 "," $226,477,500 "," $141,847,500 "
77478,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77484,39,3,4,21,4,3,4," $433,200,000 "," $476,810,000 "," $910,010,000 "," $345,198,750 "," $131,611,250 "
77489,22,1,6,6,6,2,1," $105,450,000 "," $368,325,000 "," $473,775,000 "," $226,477,500 "," $141,847,500 "
77493,35,1,4,14,10,3,3," $360,900,000 "," $674,605,000 "," $1,035,505,000 "," $514,500,000 "," $160,105,000 "
77494,18,0,6,7,2,2,1," $118,700,000 "," $84,245,000 "," $202,945,000 "," $48,512,500 "," $35,732,500 "
77498,10,1,3,2,3,1,0," $63,450,000 "," $222,750,000 "," $286,200,000 "," $132,220,000 "," $90,530,000 "
77502,4,1,0,2,0,1,0," $15,500,000 "," $775,000 "," $16,275,000 "," $600,000 "," $175,000 "
77503,27,3,6,9,5,3,1," $78,250,000 "," $359,625,000 "," $437,875,000 "," $264,752,500 "," $94,872,500 "
77504,26,2,5,9,6,3,1," $70,250,000 "," $187,750,000 "," $258,000,000 "," $120,917,500 "," $66,832,500 "
77505,10,1,2,3,3,1,," $12,750,000 "," $41,400,000 "," $54,150,000 "," $26,060,000 "," $15,340,000 "
77506,17,2,4,6,2,2,1," $65,500,000 "," $318,225,000 "," $383,725,000 "," $238,692,500 "," $79,532,500 "
77507,25,2,8,7,5,2,1," $64,750,000 "," $330,035,000 "," $394,785,000 "," $222,232,500 "," $107,802,500 "
77511,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77520,33,3,4,19,2,2,3," $330,500,000 "," $329,050,000 "," $659,550,000 "," $246,800,000 "," $82,250,000 "
77521,20,2,0,15,0,1,2," $280,500,000 "," $11,600,000 "," $292,100,000 "," $8,707,500 "," $2,892,500 "
77523,27,2,4,15,2,2,2," $299,500,000 "," $320,200,000 "," $619,700,000 "," $240,162,500 "," $80,037,500 "
77530,16,2,4,4,2,2,2," $50,000,000 "," $324,400,000 "," $374,400,000 "," $243,310,000 "," $81,090,000 "
77532,36,3,4,21,2,2,4," $341,000,000 "," $332,050,000 "," $673,050,000 "," $249,050,000 "," $83,000,000 "
77535,18,1,0,14,0,2,1," $270,000,000 "," $2,825,000 "," $272,825,000 "," $2,130,000 "," $695,000 "
77536,23,2,6,7,5,2,1," $62,750,000 "," $358,850,000 "," $421,600,000 "," $264,152,500 "," $94,697,500 "
77545,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77546,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77547,19,2,6,5,3,2,1," $70,500,000 "," $409,225,000 "," $479,725,000 "," $316,927,500 "," $92,297,500 "
77562,33,3,4,19,2,2,3," $330,500,000 "," $329,050,000 "," $659,550,000 "," $246,800,000 "," $82,250,000 "
77565,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77571,43,4,12,13,9,3,2," $119,250,000 "," $677,685,000 "," $796,935,000 "," $466,475,000 "," $211,210,000 "
77573,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77578,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77581,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77583,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77584,15,1,6,4,2,1,1," $52,000,000 "," $288,635,000 "," $340,635,000 "," $196,172,500 "," $92,462,500 "
77586,30,3,8,9,7,2,1," $69,250,000 "," $360,235,000 "," $429,485,000 "," $228,382,500 "," $131,852,500 "
77587,16,1,3,6,3,2,1," $57,500,000 "," $146,350,000 "," $203,850,000 "," $94,857,500 "," $51,492,500 "
77598,25,2,8,7,5,2,1," $64,750,000 "," $330,035,000 "," $394,785,000 "," $222,232,500 "," $107,802,500 "
77868,7,1,0,3,1,1,1," $60,500,000 "," $32,035,000 "," $92,535,000 "," $17,798,750 "," $14,236,250 "
